여러분은 평소 체력 관리를 위해 어떤 활동을 하고 계신가요? 모두 선택해주세요.,,,,,,
구분,고유번호,성별,나이,지역,설문일시,문항1
KT,w157901849947706,여,1957년 01월 05일 (만 68 세),경남,2025-01-11 5:46,4
KT,w23164482715778,남,1977년 01월 25일 (만 48 세),서울,2025-01-06 13:16,7
KT,w118310032366023,남,1975년 01월 10일 (만 50 세),대구,2025-01-06 14:53,4
KT,w64811766878534,여,1955년 06월 10일 (만 70 세),경기,2025-01-06 10:03,4
KT,w196258581714229,여,1967년 10월 28일 (만 58 세),서울,2025-01-06 9:59,4
KT,w438359725925,남,1973년 11월 23일 (만 52 세),경기,2025-01-07 11:54,"4, 9"
LG,w390904678324024,남,1981년 02월 28일 (만 44 세),경기,2025-01-09 1:33,"4, 1, 3"
LG,w208855156724229,남,1982년 04월 13일 (만 43 세),경기,2025-01-06 10:45,4
LG,w124470850274119,남,1973년 08월 09일 (만 52 세),경기,2025-01-07 0:16,"4, 7"
LG,w64293137236426,남,1973년 10월 21일 (만 52 세),경기,2025-01-07 9:38,6
LG,w177001893373450,남,1974년 02월 10일 (만 51 세),경기,2025-01-07 4:41,4
LG,w119448894964222,남,1970년 04월 12일 (만 55 세),서울,2025-01-06 16:05,10
LG,w86902151673990,남,1958년 02월 22일 (만 67 세),경기,2025-01-07 6:24,4
LG,w193801959812149,여,1988년 03월 09일 (만 37 세),서울,2025-01-07 20:16,2
Wiz,w4604140334224,여,1962년 09월 06일 (만 63 세),서울,2025-01-06 21:48,3
LG,w23515788823335,남,1969년 09월 05일 (만 56 세),부산,2025-01-07 2:10,"4, 6"
LG,w13820392952033,여,1995년 월 일 (만 30 세),서울,2025-01-06 22:14,2
LG,w76313033764345,남,1986년 03월 14일 (만 39 세),전북,2025-01-06 16:31,3
LG,w397083627357834,여,2001년 04월 10일 (만 24 세),경기,2025-01-13 11:54,2
LG,w69556540215064,남,1972년 03월 22일 (만 53 세),인천,2025-01-06 19:04,8
LG,w167780462508378,남,1981년 12월 26일 (만 44 세),대구,2025-01-06 9:51,"1, 4"
LG,w11517878846390,여,1996년 10월 04일 (만 29 세),세종,2025-01-06 14:41,"8, 4"
LG,w50163846181730,남,1968년 07월 08일 (만 57 세),서울,2025-01-07 0:35,10
LG,w22830489560959,여,1996년 10월 12일 (만 29 세),경기,2025-01-06 20:47,2
LG,w17094050063743,남,1980년 11월 19일 (만 45 세),세종,2025-01-11 13:29,9
LG,w167714780766426,남,1966년 10월 30일 (만 59 세),경기,2025-01-09 7:01,10
LG,w83129491516071,남,1972년 01월 29일 (만 53 세),경기,2025-01-06 13:27,10
LG,w33107470623389,여,1997년 03월 26일 (만 28 세),경기,2025-01-10 18:11,2
LG,w138881410520903,남,1968년 02월 17일 (만 57 세),인천,2025-01-11 10:28,4
LG,w54351292521394,여,1967년 08월 20일 (만 58 세),경기,2025-01-06 20:00,10
LG,w396347897190049,여,1997년 11월 03일 (만 28 세),전남,2025-01-11 12:22,"2, 4"
LG,w12101894123981,여,1986년 월 일 (만 39 세),대구,2025-01-06 12:47,4
LG,w12737052443319,남,1994년 월 일 (만 31 세),서울,2025-01-06 21:36,"7, 1, 4, 2"
LG,w80423453655035,여,1980년 02월 05일 (만 45 세),강원,2025-01-06 19:48,4
LG,w32117027848517,남,1974년 03월 07일 (만 51 세),인천,2025-01-06 22:07,10
LG,w33122022462114,남,1971년 12월 19일 (만 54 세),경기,2025-01-06 14:16,2
LG,w53101277662202,남,1974년 01월 15일 (만 51 세),경기,2025-01-06 19:57,4
LG,w94783351238207,남,1961년 10월 12일 (만 64 세),경기,2025-01-07 11:13,10
LG,w175046428375961,남,1973년 03월 17일 (만 52 세),대구,2025-01-08 16:34,4
LG,w169585086789499,남,1977년 02월 19일 (만 48 세),서울,2025-01-07 8:06,7
LG,w10728447333478,여,1964년 07월 02일 (만 61 세),서울,2025-01-07 14:56,4
LG,w25254065403925,남,1982년 01월 20일 (만 43 세),인천,2025-01-06 23:27,8
Wiz,w6286458619362,남,1973년 08월 30일 (만 52 세),서울,2025-01-06 14:04,5
LG,w52784743200175,남,1993년 11월 10일 (만 32 세),대전,2025-01-06 17:47,4
LG,w169569275419286,여,1979년 02월 22일 (만 46 세),경북,2025-01-07 15:48,5
LG,w154051553214700,여,1990년 10월 23일 (만 35 세),경기,2025-01-06 12:45,10
LG,w12767596968659,남,1969년 월 일 (만 56 세),부산,2025-01-06 10:16,2
Wiz,w12427560857,여,1978년 10월 24일 (만 47 세),서울,2025-01-06 15:06,10
LG,w166034342174366,여,1987년 08월 30일 (만 38 세),경기,2025-01-07 7:51,10
LG,w76233127122677,남,1966년 06월 20일 (만 59 세),경기,2025-01-06 12:09,4
Wiz,w93298243856,여,1985년 10월 25일 (만 40 세),서울,2025-01-06 14:31,10
LG,w6869955572069,남,1958년 월 일 (만 67 세),경기,2025-01-07 8:28,10
LG,w127008897755618,여,1972년 12월 12일 (만 53 세),인천,2025-01-06 20:24,2
LG,w299290695747792,남,1967년 11월 07일 (만 58 세),경기,2025-01-08 16:31,8
LG,w53990236189890,남,1980년 07월 27일 (만 45 세),경기,2025-01-06 17:36,3
LG,w157150292381710,여,1983년 08월 31일 (만 42 세),경기,2025-01-08 6:09,9
KT,,,(만 2025 세),,2025-01-07 7:14,10
LG,w225290677429154,여,2000년 03월 10일 (만 25 세),경남,2025-01-07 12:54,4
LG,w47345695023395,남,1970년 05월 11일 (만 55 세),전남,2025-01-06 10:11,10
LG,w20927645370549,남,1982년 12월 22일 (만 43 세),서울,2025-01-06 15:47,4
LG,w83201038969986,남,1969년 02월 23일 (만 56 세),서울,2025-01-07 6:05,4
LG,w8251530568559,여,1968년 월 일 (만 57 세),경기,2025-01-07 5:38,10
LG,w157447339340241,남,1973년 08월 04일 (만 52 세),대구,2025-01-06 18:16,7
LG,w230330449930334,남,1979년 08월 20일 (만 46 세),경기,2025-01-06 11:12,1
LG,w35900052165075,여,1958년 01월 02일 (만 67 세),경기,2025-01-07 7:26,9
KT,w27889754296090,남,1973년 12월 22일 (만 52 세),경남,2025-01-09 4:40,"4, 5"
LG,w394855064566081,여,1984년 04월 13일 (만 41 세),경기,2025-01-08 9:17,10
LG,w10391112152629,여,1959년 06월 28일 (만 66 세),서울,2025-01-07 1:06,4
LG,w206822388650863,남,1966년 08월 01일 (만 59 세),인천,2025-01-06 19:49,4
LG,w188852746537494,남,1979년 12월 18일 (만 46 세),광주,2025-01-07 5:26,10
LG,w10352863879832,여,1974년 월 일 (만 51 세),서울,2025-01-07 4:30,4
LG,w14234525061693,남,1974년 02월 05일 (만 51 세),인천,2025-01-06 18:30,6
LG,w212264138488956,여,1994년 03월 09일 (만 31 세),전북,2025-01-06 13:23,3
LG,w313123548049523,여,1977년 03월 04일 (만 48 세),인천,2025-01-07 7:13,4
LG,w8336330477970,남,1990년 10월 23일 (만 35 세),서울,2025-01-06 13:44,3
LG,w197513632424747,남,1956년 10월 15일 (만 69 세),대구,2025-01-06 12:19,9
LG,w10383023916386,남,1988년 월 일 (만 37 세),전남,2025-01-06 12:01,"6, 4, 8"
LG,w8818476337227,여,1988년 월 일 (만 37 세),대구,2025-01-07 6:50,10
LG,w164268628767616,남,1967년 11월 27일 (만 58 세),인천,2025-01-07 10:16,9
LG,w9977154311389,남,1991년 06월 27일 (만 34 세),경기,2025-01-06 20:17,3
